Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4.862000022221111E15, nombre del propietario = Felipe, Tipo=. Transaction info: NumeroTransaccion = 573, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4.862000022221111E15, nombre del propietario = Felipe, Tipo=. Transaction info: NumeroTransaccion = 560, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4.862000022221111E15, nombre del propietario = Felipe, Tipo=. Transaction info: NumeroTransaccion = 572, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4.862000022221111E15, nombre del propietario = Felipe, Tipo=. Transaction info: NumeroTransaccion = 327, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4.862000022221111E15, nombre del propietario = Felipe, Tipo=. Transaction info: NumeroTransaccion = 823, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4.862000022221111E15, nombre del propietario = Felipe, Tipo=. Transaction info: NumeroTransaccion = 381, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 547, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 445, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 321, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 195, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 810, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 721, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 903, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 864, cuenta destino = 0000000000, valor transaccion = 600000.0.
