Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = Felipe, Tipo = Visa. Transaction info: NumeroTransaccion = 4650, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = Felipe, Tipo = Visa. Transaction info: NumeroTransaccion = 309, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = Felipe, Tipo = Visa. Transaction info: NumeroTransaccion = 22887, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = Felipe, Tipo = Visa. Transaction info: NumeroTransaccion = 5405, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = Felipe Garcia, Tipo = Visa. Transaction info: NumeroTransaccion = 10036, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = Felipe Garcia, Tipo = Visa. Transaction info: NumeroTransaccion = 4539, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = Felipe Garcia, Tipo = Visa. Transaction info: NumeroTransaccion = 1805, cuenta destino = 0000000000, valor transaccion = 1200000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4025002874171246, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 4581, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4107410741074106, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 10814, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 5407, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 4527, cuenta destino = 0000000000, valor transaccion = 600000.0.
Proceso de pago exitoso. Información de la tarjeta: NumeroTarjeta = 4862000022221111, nombre del propietario = a, Tipo = Visa. Transaction info: NumeroTransaccion = 5777, cuenta destino = 0000000000, valor transaccion = 600000.0.
